,location,bath,balcony,price,BuiltUp_Area,Plot_Area,Carpet_Area,BedRoom,With_Hall_Kitchen,Final_sqft
1305,Hoodi,3,3,89.55,1,0,0,3,1,1606.0
1306,Billekahalli,3,2,88.0,1,0,0,3,1,1650.0
1307,D Souza Layout,4,3,1015.0,1,0,0,3,1,4634.0
1308,Old Airport Road,2,3,75.0,1,0,0,2,1,1206.0
1309,Sarjapur  Road,2,0,64.0,1,0,0,3,1,1495.0
1310,Malleshwaram,7,2,195.0,0,1,0,8,0,840.0
1311,Electronic City,2,2,16.0,1,0,0,2,1,710.0
1312,Balagere,2,1,72.0,1,0,0,2,1,1210.0
1313,Nagarbhavi,2,2,53.4,1,0,0,3,1,1523.0
1314,Whitefield,2,2,45.0,1,0,0,2,1,1232.0
1315,Rachenahalli,1,1,44.0,1,0,0,1,1,680.0
1316,Hebbal,3,1,83.87,1,0,0,3,1,1355.0
1317,Thanisandra,2,2,51.46,1,0,0,3,1,1430.0
1318,Kothannur,2,2,43.85,1,0,0,3,1,1275.0
1319,Electronic City,2,1,56.1,1,0,0,2,1,1070.0
1320,Bettahalsoor,3,1,85.0,0,1,0,3,0,1200.0
1321,Electronic City,4,0,120.0,0,1,0,4,0,2000.0
1322,Bommanahalli,2,2,40.0,1,0,0,2,1,1200.0
1323,Marathahalli,3,1,90.0,1,0,0,3,1,1610.0
1324,Haralur Road,2,2,43.0,1,0,0,2,1,1140.0
1325,Raja Rajeshwari Nagar,2,2,38.65,1,0,0,2,1,1143.0
1326,Jakkur,6,3,249.0,1,0,0,4,1,3467.86
1327,Rachenahalli,2,2,74.4,1,0,0,3,1,1530.0
1328,7th Phase JP Nagar,2,2,69.0,1,0,0,2,1,980.0
1329,Whitefield,3,2,65.0,1,0,0,3,1,1485.0
1330,Whitefield,3,1,130.0,0,1,0,3,0,1500.0
1331,Whitefield,2,1,75.0,1,0,0,2,1,1280.0
1332,Thanisandra,2,2,85.0,1,0,0,2,1,1265.0
1333,"ECC Road, Whitefield, ",2,1,67.0,1,0,0,2,1,1132.0
1334,Ashwath Nagar,2,2,63.0,1,0,0,2,1,1262.0
1335,JP Nagar,2,1,49.0,1,0,0,2,1,940.0
1336,Seetharampalya,3,3,88.0,1,0,0,3,1,1515.0
1337,Jigani,3,3,150.0,1,0,0,3,1,1300.0
1338,Kothanur,3,1,69.0,1,0,0,3,0,1840.0
1339,Electronic City,2,2,45.0,1,0,0,2,1,890.0
1340,Rukmaiah Layout,3,2,86.06,1,0,0,3,1,1655.0
1341,Hennur Road,3,1,149.0,1,0,0,3,1,2060.0
1342,Bommanahalli,3,1,96.0,1,0,0,3,1,1730.0
1343,Yelahanka,4,2,127.0,1,0,0,3,1,2195.0
1344,Kathriguppe,3,2,125.0,1,0,0,3,1,1650.0
1345,KR Puram,2,0,71.0,0,1,0,2,0,1200.0
1346,Hosa Road,2,1,32.37,1,0,0,2,1,1079.0
1347,Panathur,2,1,36.0,1,0,0,2,1,1085.0
1348,Maruthi Sevanagar,7,0,299.0,1,0,0,7,0,5000.0
1349,Yelahanka,2,1,51.5,1,0,0,2,1,1075.0
1350,Devanahalli Int. Airport,2,1,80.0,1,0,0,2,1,1380.0
1351,Puttanahalli,3,1,65.0,1,0,0,3,1,1450.0
1352,Thubarahalli,2,2,78.0,1,0,0,2,1,1200.0
1353,Benson Town,4,0,350.0,1,0,0,3,1,3200.0
1354,Hoodi,3,1,98.32,1,0,0,3,1,1639.0
1355,Jakkuru Layout,2,1,54.0,1,0,0,2,1,1200.0
1356,Vijayanagar,3,1,116.0,1,0,0,3,1,1739.0
1357,Palanahalli,5,0,500.0,1,0,0,4,0,4346.0
1358,Old Madras Road,2,1,32.72,1,0,0,2,1,935.0
1359, Thanisandra,1,1,25.25,1,0,0,1,0,510.0
1360,Devasandra Extension,6,3,180.0,0,1,0,6,0,1200.0
1361,Nagondanahalli,2,3,47.0,1,0,0,2,1,1178.0
1362,Chikkalasandra,2,1,50.0,1,0,0,3,1,1375.0
1363,Chandapura,2,1,33.0,1,0,0,3,1,1065.0
1364,2nd Phase Judicial Layout,2,1,50.75,1,0,0,3,1,1450.0
1365,BEML Layout,2,3,45.0,1,0,0,2,1,999.0
1366,Amruthahalli,3,2,475.0,1,0,0,2,1,4400.0
1367,Marathahalli,4,1,135.0,0,1,0,5,0,1350.0
1368,Kothannur,2,2,40.0,1,0,0,2,1,1100.0
1369,Koramangala,2,3,155.0,1,0,0,3,1,1835.0
1370,Hoodi,4,0,95.1,1,0,0,4,1,2090.0
1371,Lingadheeranahalli,3,1,93.0,1,0,0,3,1,1519.0
1372,Dommasandra,3,2,56.0,1,0,0,3,1,1267.0
1373,Sanjay nagar,2,3,72.2,1,0,0,2,1,1150.0
1374,Marathahalli,2,1,70.0,1,0,0,2,1,1146.0
1375,1st Block HRBR Layout,7,0,235.0,0,1,0,8,0,1200.0
1376,Kannamangala,3,3,65.0,1,0,0,3,1,1550.0
1377,Chandapura,1,1,18.5,1,0,0,2,1,850.0
1378,Richmond Town,3,0,187.0,1,0,0,3,1,2200.0
1379,"Sarjapur Road, ",3,2,330.0,1,0,0,3,0,3329.0
1380,Electronics City Phase 1,1,1,55.0,0,0,1,1,1,785.0
1381,Hebbal Kempapura,4,0,300.0,1,0,0,3,1,2900.0
1382,Raja Rajeshwari Nagar,3,2,74.0,1,0,0,3,1,1610.0
1383,Bellandur,2,2,40.0,1,0,0,2,1,921.0
1384,Kengeri Satellite Town,3,2,95.0,0,1,0,3,0,850.0
1385,Bannerghatta Road,5,0,158.0,1,0,0,5,0,2700.0
1386,Sarjapur  Road,3,3,110.0,1,0,0,3,1,1700.0
1387,Sarjapur,2,2,35.0,1,0,0,2,1,1020.0
1388,Billekahalli,2,3,52.0,1,0,0,2,1,1090.0
1389,Bagalur Main Road,4,0,300.0,0,1,0,4,0,3600.0
1390,Thanisandra,2,2,42.1,1,0,0,2,1,1185.0
1391,Doddathoguru,2,1,25.0,1,0,0,2,1,850.0
1392,Harlur,2,1,84.0,1,0,0,2,1,1197.0
1393,Byadarahalli,3,3,450.0,1,0,0,4,1,3500.0
1394,Poorna Pragna Layout,2,2,39.55,1,0,0,2,1,920.0
1395,Chamrajpet,9,1,296.0,1,0,0,9,1,7704.16
1396,Raja Rajeshwari Nagar,2,1,65.0,1,0,0,2,1,1105.0
1397,Yeshwanthpur,3,3,100.0,1,0,0,3,1,1850.0
1398,Judicial Layout,3,1,64.0,1,0,0,3,1,1300.0
1399,"Varthur Road, ",3,2,76.0,1,0,0,3,1,1595.0
1400,Kodihalli,5,2,696.0,1,0,0,4,1,3073.0
1401,Horamavu Agara,2,1,37.49,1,0,0,2,1,755.0
1402,Nagasandra,5,2,140.0,1,0,0,5,0,4050.0
1403,Kanakpura Road,2,3,69.0,1,0,0,3,1,1300.0
1404,Bannerghatta Road,2,0,50.0,1,0,0,2,1,1215.0
1405,Kanakpura Road,2,1,46.0,1,0,0,2,1,900.0
1406,Banashankari Stage III,2,3,58.4,1,0,0,2,1,1145.0
1407,Chikka Banaswadi,2,2,65.0,1,0,0,2,1,1093.0
1408,Babusapalaya,2,2,41.39,1,0,0,3,1,1213.0
1409,Bannerghatta Road,3,2,100.0,1,0,0,3,1,1654.0
1410,NGR Layout,2,1,52.48,1,0,0,2,1,1105.0
1411,Babusapalaya,2,2,66.0,1,0,0,3,1,1611.0
1412,Outer Ring Road East,2,2,62.0,1,0,0,2,1,1367.0
1413,Devanahalli,2,1,51.0,1,0,0,2,1,1010.0
1414,Kavika Layout,2,1,75.0,0,1,0,3,0,750.0
1415,Vinayaka Nagar,3,1,95.0,0,0,1,3,1,1535.0
1416,Anekal,2,1,22.0,1,0,0,2,1,620.0
1417,Horamavu Agara,2,1,47.65,1,0,0,2,1,982.0
1418,Banashankari Stage II,2,2,150.0,1,0,0,2,1,1700.0
1419,Whitefield,2,1,71.0,1,0,0,2,1,1330.0
1420,JP Nagar,3,2,135.0,1,0,0,3,0,2500.0
1421,Poorna Pragna Layout,2,2,58.99,1,0,0,3,1,1475.0
1422,Bhoganhalli,3,1,65.0,1,0,0,3,1,1410.0
1423,Yelahanka New Town,1,1,16.5,1,0,0,1,1,440.0
1424,Yelahanka,3,2,95.0,1,0,0,3,1,1614.0
1425,Neeladri Nagar,2,2,68.0,1,0,0,2,1,1363.0
1426,Kogilu,2,0,28.0,1,0,0,2,0,650.0
1427,Dodda Kempaiah Layout,2,1,45.0,1,0,0,2,1,1015.0
1428,Horamavu Banaswadi,2,2,46.0,1,0,0,2,1,1156.0
1429,Hennur Busstop,2,1,62.7,1,0,0,2,1,1100.0
1430,KR Puram,3,2,46.0,1,0,0,3,1,1455.0
1431,GB Palya,2,1,45.0,1,0,0,2,1,930.0
1432,AMS Layout,2,2,80.0,1,0,0,3,1,1650.0
1433,KR Puram,2,0,90.0,1,0,0,2,0,1200.0
1434,9th Block Jayanagar,1,0,150.0,0,1,0,1,0,700.0
1435,Karuna Nagar,3,0,135.0,1,0,0,4,1,2900.0
1436,Kadugodi,4,3,127.0,1,0,0,3,1,1890.0
1437,Ashwathnagar,4,3,280.0,1,0,0,3,1,2197.0
1438,Hebbal Kempapura,3,2,380.0,1,0,0,3,1,3522.0
1439,Gaurava Nagar,2,2,46.0,1,0,0,3,1,1240.0
1440,HRBR Layout,2,2,98.0,1,0,0,2,1,1440.0
1441,Kodichikkanahalli,1,2,38.0,1,0,0,1,1,650.0
1442,Budigere,1,1,32.0,1,0,0,1,1,764.0
1443,Sector 7 HSR Layout,4,0,90.0,0,1,0,5,0,900.0
1444,Hoodi,3,2,65.0,1,0,0,3,1,1445.0
1445,Kanakpura Road,1,0,45.0,1,0,0,2,1,900.0
1446,Singasandra,2,0,55.0,1,0,0,2,1,1030.0
1447,Yelahanka,2,2,52.48,1,0,0,3,1,1381.0
1448,Basapura,2,1,60.0,1,0,0,2,1,1100.0
1449,Hoodi,3,2,66.39,1,0,0,3,1,1575.0
1450,Thigalarapalya,2,1,65.0,0,1,0,2,0,1200.0
1451,Begur Road,2,2,43.2,1,0,0,2,1,1200.0
1452,Kasturi Nagar,2,2,80.0,1,0,0,2,1,1080.0
1453,Hebbal Kempapura,5,0,200.0,0,1,0,5,0,2280.0
1454,Akshaya Nagar,2,2,85.0,1,0,0,3,1,1360.0
1455,Jakkur,3,1,124.0,1,0,0,3,1,1865.0
1456,Sarjapur  Road,2,1,75.0,1,0,0,3,1,1157.0
1457,Kammasandra,2,1,29.0,1,0,0,2,1,674.0
1458,Whitefield,2,1,78.0,1,0,0,3,1,1405.0
1459,Begur Road,2,2,44.08,1,0,0,2,1,1160.0
1460,Kengeri Satellite Town ( BDA SITE),3,1,172.0,0,1,0,4,0,1600.0
1461,Hebbal,3,2,127.0,1,0,0,3,1,1790.0
1462,Electronic City,2,1,65.65,1,0,0,2,1,1128.0
1463,Panathur,2,1,70.0,1,0,0,2,1,1180.0
1464,AGS Layout,2,2,85.0,1,0,0,3,1,1450.0
1465,Kengeri,1,1,10.0,1,0,0,1,1,340.0
1466,Srinagar,3,1,166.0,1,0,0,4,0,2000.0
1467,Rachenahalli,2,2,53.5,1,0,0,2,1,1050.0
1468,Varthur,2,2,40.0,1,0,0,2,1,1125.0
1469,Vittasandra,2,1,68.0,1,0,0,2,1,1246.0
1470,HSR Layout,2,1,61.0,1,0,0,2,1,1372.0
1471,Binny Pete,5,2,234.0,1,0,0,3,1,2465.0
1472,Dasarahalli,2,3,55.0,1,0,0,2,1,1300.0
1473,Brigade Road,1,0,220.0,0,1,0,2,0,1420.0
1474,Bannerghatta,4,1,50.0,0,1,0,4,0,810.0
1475,Channasandra,2,1,35.0,1,0,0,2,1,1065.0
1476,Hessarghatta,2,0,27.0,1,0,0,2,1,700.0
1477,Hebbal,2,0,42.72,0,0,1,2,1,687.325
1478,Belathur,2,1,45.0,1,0,0,2,1,1050.0
1479,Maruthi HBCS Layout,3,3,39.5,1,0,0,3,1,1250.0
1480,Electronic City,2,0,42.0,1,0,0,2,1,865.0
1481,Uttarahalli,2,2,44.0,1,0,0,2,1,1200.0
1482,Srirampura,3,3,100.0,1,0,0,3,1,1756.0
1483,Malleshwaram,8,0,150.0,0,1,0,9,0,750.0
1484,Yelahanka,1,1,24.0,1,0,0,1,1,628.0
1485,9th Phase JP Nagar,6,2,195.0,0,1,0,7,0,1200.0
1486,5th Phase JP Nagar,2,2,63.0,1,0,0,2,1,1207.0
1487,Kalena Agrahara,3,1,125.0,1,0,0,3,1,1765.0
1488,Electronic City,2,1,32.64,1,0,0,2,1,1130.0
1489,Devanahalli Road,3,3,92.0,1,0,0,3,1,1532.0
1490,Ejipura,3,0,110.0,1,0,0,3,1,1650.0
1491,Horamavu Banaswadi,4,2,105.0,1,0,0,4,0,1200.0
1492,Bhoganhalli,2,1,69.09,0,0,1,2,1,804.1
1493,Doddathoguru,2,2,75.0,1,0,0,2,1,1200.0
1494,Kengeri,2,2,50.0,1,0,0,2,1,1197.0
1495,Green Woods Layout,2,2,66.0,1,0,0,2,1,1200.0
1496,Uttarahalli,2,2,48.48,1,0,0,3,1,1385.0
1497,Craig Park Layout,2,3,148.0,1,0,0,2,1,1010.0
1498,Whitefield,3,3,115.0,1,0,0,3,1,2225.0
1499,Immadihalli,2,2,48.0,1,0,0,2,1,1180.0
1500,Banagiri Nagar,2,3,122.0,1,0,0,3,1,1525.0
1501,Ananth Nagar,2,2,31.5,1,0,0,2,1,1100.0
1502,Hiremath Layout,3,3,70.0,1,0,0,3,1,1435.0
1503,Attibele,1,1,14.0,1,0,0,1,1,400.0
1504,Dommasandra,2,2,50.0,1,0,0,2,1,1200.0
1505,Whitefield,2,1,95.05,1,0,0,2,1,1272.0
1506,Whitefield,2,1,39.0,1,0,0,2,1,1205.0
1507,Kalena Agrahara,2,1,40.0,1,0,0,2,1,980.0
1508,Malleshpalya,2,2,46.86,1,0,0,2,1,1225.0
1509,Whitefield,3,1,72.0,1,0,0,3,1,1541.0
1510,Ramagondanahalli,2,2,111.0,1,0,0,3,1,1610.0
1511,Jalahalli,2,2,125.0,1,0,0,2,1,1694.0
1512,Jnanabharathi Layout,3,2,75.0,0,1,0,3,0,600.0
1513,Kaggalipura,2,1,39.0,1,0,0,2,1,950.0
1514,Muneshwara Nagar,2,3,66.0,1,0,0,3,1,1560.0
1515,Chandapura,2,2,27.0,1,0,0,2,1,1201.0
1516,Chandapura,2,1,60.0,0,1,0,2,0,1500.0
1517,Malleshpalya,3,2,75.0,1,0,0,3,1,1785.0
1518,Raja Rajeshwari Nagar,2,1,63.53,1,0,0,2,1,1258.0
1519,Electronic City,2,2,42.0,1,0,0,2,1,910.0
1520,Thigalarapalya,2,2,112.0,1,0,0,2,1,1297.0
1521,Kundalahalli,2,3,49.0,1,0,0,2,1,1291.0
1522,Chikkasandra,2,2,42.0,1,0,0,2,1,1070.0
1523,Varthur,2,1,66.5,1,0,0,2,1,1012.0
1524,Mahadevpura,2,3,57.6,1,0,0,2,1,1260.0
1525,Sarjapur  Road,2,2,72.0,1,0,0,2,1,1282.0
1526,Kanakpura Road,3,2,92.15,1,0,0,3,1,1843.0
1527,Bharath Housing Society Layout,3,0,200.0,0,1,0,4,0,2400.0
1528,Chikka Tirupathi,5,2,105.0,1,0,0,5,0,3356.0
1529,Hebbal,5,3,198.0,1,0,0,4,1,2790.0
1530,EPIP Zone,2,1,86.98,1,0,0,2,1,1330.0
1531,Konanakunte,2,1,73.0,1,0,0,3,1,1400.0
1532,Whitefield,2,1,71.0,1,0,0,2,1,1192.0
1533,3rd Block Jayanagar,2,1,130.0,1,0,0,2,1,1000.0
1534,Thigalarapalya,2,2,103.0,1,0,0,2,1,1297.0
1535,Sarjapur  Road,1,0,17.835,1,0,0,1,1,615.0
1536,Vijayanagar,3,2,100.0,1,0,0,3,1,1490.0
1537,Rayasandra,3,2,72.0,1,0,0,3,1,1373.0
1538,7th Phase JP Nagar,2,1,41.39,1,0,0,2,1,1035.0
1539,Kadugodi,4,0,210.0,0,1,0,4,0,3750.0
1540,Doddakallasandra,2,1,40.39,1,0,0,2,1,1010.0
1541,Sarjapur,2,1,42.0,1,0,0,2,1,1195.0
1542,HSR Layout,3,2,95.0,1,0,0,3,1,1750.0
1543,Malleshpalya,2,2,50.0,1,0,0,2,1,1052.0
1544,Horamavu Banaswadi,2,2,58.0,1,0,0,2,1,1180.0
1545,Padmanabhanagar,4,2,440.0,1,0,0,5,0,3680.0
1546,Hormavu,3,2,73.0,1,0,0,3,1,2100.0
1547,Hoodi,4,1,140.0,1,0,0,4,0,2863.0
1548,Raja Rajeshwari Nagar,2,2,38.24,1,0,0,2,1,1128.0
1549,Ulsoor,3,1,450.0,1,0,0,3,1,2700.0
1550,JP Nagar,2,2,33.6,1,0,0,2,1,1120.0
1551,HSR Layout,3,2,90.0,1,0,0,3,1,2424.0
1552,Manjunatha Layout,2,1,60.0,1,0,0,2,1,1300.0
1553,Kanakapura,2,2,32.69,1,0,0,2,1,1090.0
1554,Yelahanka,3,1,251.0,1,0,0,3,0,2710.0
1555,Konanakunte Cross,1,1,180.0,0,1,0,2,0,3040.0
1556,Uttarahalli,2,2,46.55,1,0,0,3,1,1330.0
1557,Hosur Road,2,1,80.63,1,0,0,3,1,1427.0
1558,Banjara Layout,2,2,48.0,1,0,0,3,1,1294.0
1559,Begur,3,2,75.0,1,0,0,3,1,1580.0
1560,Uttarahalli,5,1,200.0,0,1,0,5,0,400.0
1561,Chikka Tirupathi,4,2,80.27,0,1,0,3,0,1808.0
1562,Rajaji Nagar,4,3,540.0,1,0,0,4,1,3516.0
1563,Parappana Agrahara,2,2,47.0,1,0,0,2,1,1194.0
1564,Kanakpura Road,2,1,46.0,1,0,0,2,1,900.0
1565,Abbaiah Reddy Layout,2,3,50.0,1,0,0,3,1,1310.0
1566,Kanakpura Road,2,1,46.0,1,0,0,2,1,900.0
1567,Singasandra,6,3,195.0,1,0,0,4,0,3850.0
1568,Kogilu,7,3,88.0,0,1,0,7,0,925.0
1569,Yelachenahalli,1,1,150.0,1,0,0,2,1,2400.0
1570,Koramangala,2,3,100.0,1,0,0,2,1,1290.0
1571,Yelahanka,6,3,110.0,1,0,0,6,0,3770.0
1572,Lakshmi Layout,3,1,120.0,1,0,0,3,1,1390.0
1573,Tavarekere,4,2,72.0,0,1,0,4,0,1200.0
1574,Bisuvanahalli,2,1,33.0,1,0,0,2,1,845.0
1575,Yelahanka,3,3,120.0,1,0,0,3,1,1537.0
1576,Immadihalli,2,2,68.0,1,0,0,2,1,1135.0
1577,Hoodi,3,2,75.77,1,0,0,3,1,1512.0
1578,Srinivasa Nagar,2,1,55.0,1,0,0,2,1,900.0
1579,Jigani,3,3,54.0,1,0,0,3,1,1230.0
1580,Thirumenahalli,2,3,42.33,1,0,0,3,1,1378.0
1581,Whitefield,2,1,61.3,1,0,0,2,1,1277.0
1582,Hebbal,4,2,189.0,1,0,0,3,1,1985.0
1583,Kengeri,5,0,500.0,0,1,0,5,0,8000.0
1584,KPC Layout,2,2,62.0,1,0,0,2,1,1210.0
1585,Yelahanka,2,0,40.0,1,0,0,2,1,890.0
1586,JP Nagar,9,0,360.0,0,1,0,9,0,2550.0
1587,Sarjapur,5,2,110.0,0,1,0,4,0,1200.0
1588,Ardendale,4,3,200.0,1,0,0,4,1,3198.0
1589,HOSUR MAIN ROAD,3,2,56.0,1,0,0,3,1,1464.0
1590,Hebbal,5,2,215.0,1,0,0,4,1,2483.0
1591,Begur,4,2,130.0,0,1,0,4,0,1550.0
1592,Sarjapur  Road,4,1,310.0,1,0,0,4,1,4111.0
1593,Electronic City,2,2,37.5,1,0,0,2,1,975.0
1594,Nandi Durga Road,3,1,250.0,1,0,0,3,1,2500.0
1595,Rajiv Nagar,3,1,125.0,1,0,0,3,1,1690.0
1596,Hosa Road,2,1,31.89,1,0,0,2,1,1063.0
1597,Cooke Town,3,3,390.0,0,1,0,3,0,2572.0
1598,Kumara Park,4,0,350.0,0,0,1,3,1,2200.0
1599,Daadys Gaarden Layout,3,0,80.0,1,0,0,3,1,1600.0
1600,Maruthi Nagar,3,1,39.5,1,0,0,3,1,1250.0
1601,Bommanahalli,1,0,19.5,1,0,0,1,1,520.0
1602,Marathahalli,5,0,212.0,1,0,0,4,1,4000.0
1603,Munnekollal,3,2,68.0,1,0,0,3,1,1390.0
1604,Whitefield,2,2,40.0,1,0,0,2,1,1185.0
1605,Sahakara Nagar,2,2,48.0,1,0,0,2,1,1219.0
1606,Kudlu Gate,2,1,92.0,1,0,0,3,1,1564.0
1607,Sarjapur  Road,6,0,228.5,1,0,0,4,1,3430.0
1608,Hosa Road,2,2,37.1,1,0,0,2,1,1100.0
1609,Kothannur,2,0,60.0,1,0,0,3,1,1300.0
1610,Chikkabanavar,2,0,80.0,0,1,0,3,0,1600.0
1611,Ramamurthy Nagar,3,2,75.0,1,0,0,3,0,1600.0
1612,Hennur Road,2,1,92.0,1,0,0,3,1,1482.0
1613,Marsur,4,3,66.0,0,1,0,3,0,1000.0
1614,Shampura,2,3,53.0,1,0,0,2,1,1200.0
1615,Gubbalala,3,2,75.0,0,1,0,3,0,600.0
1616,Kengeri,2,0,58.0,1,0,0,2,1,1200.0
1617,Kereguddadahalli,4,0,60.0,0,1,0,6,0,600.0
1618,Nagarbhavi,3,0,160.0,1,0,0,3,0,2400.0
1619,Marathahalli,3,1,89.0,1,0,0,3,1,1469.0
1620,Kanakapura,1,1,30.0,1,0,0,1,1,551.0
1621,Electronics City Phase 1,2,1,52.0,1,0,0,2,1,1160.0
1622,Balagere,2,1,78.5,1,0,0,2,1,1205.0
1623,Kasavanhalli,2,3,52.0,1,0,0,3,1,1550.0
1624,Gubbalala,3,2,125.0,1,0,0,3,1,1745.0
1625,AECS Layout,2,1,42.0,1,0,0,2,1,1028.0
1626,Frazer Town,3,1,180.0,1,0,0,3,1,1700.0
1627,Karuna Nagar,2,1,34.0,1,0,0,3,1,1200.0
1628,Kodihalli,4,1,270.0,1,0,0,3,1,2700.0
1629,Kallumantapa,2,2,50.0,1,0,0,2,1,1100.0
1630,Ramamurthy Nagar,3,1,72.0,0,1,0,2,0,1200.0
1631,Kaverappa Layout,2,2,68.0,1,0,0,2,1,1269.72
1632,Electronic City Phase II,2,2,59.0,1,0,0,2,1,1266.0
1633,Mysore Road,2,1,62.0,1,0,0,2,1,1060.0
1634,Malimakanapura,3,0,70.0,0,1,0,3,0,1168.0
1635,Medahalli,2,1,51.0,1,0,0,2,1,1552.0
1636,Talaghattapura,3,0,120.0,1,0,0,3,1,2038.5
1637,Attibele,1,1,17.0,1,0,0,1,1,500.0
1638,Hulimavu,2,2,43.2,1,0,0,2,1,1080.0
1639,Kattigenahalli,4,0,155.0,0,1,0,4,0,2100.0
1640,Rustam Bagh Layout,2,2,65.0,1,0,0,2,1,1300.0
1641,Electronics City Phase 1,2,2,33.0,1,0,0,2,1,920.0
1642,New Thippasandra,2,1,120.0,0,1,0,4,0,817.0
1643,Harlur,2,1,50.0,1,0,0,2,1,1310.0
1644,Horamavu Agara,2,1,75.0,1,0,0,3,1,1650.0
1645,Garden Layout,3,3,93.93,1,0,0,3,1,1515.0
1646,Raja Rajeshwari Nagar,2,1,53.8,1,0,0,2,1,1157.0
1647,Viswapriyanagar.begur Road.bommanahalli.,5,1,85.0,1,0,0,4,1,2400.0
1648,Konanakunte,4,3,160.0,1,0,0,4,1,3000.0
1649,Basavangudi,2,1,162.0,1,0,0,3,1,2200.0
1650,"Hoodi Circle, ",2,1,58.0,1,0,0,2,1,1243.0
1651,Rachenahalli,2,2,74.39,1,0,0,3,1,1530.0
1652,Judicial Layout,3,3,162.0,1,0,0,3,1,2070.0
1653,Yelahanka,3,2,82.0,1,0,0,3,1,1815.0
1654,Sarjapur  Road,4,3,300.0,1,0,0,4,1,3900.0
1655,Electronic City Phase II,2,1,28.88,1,0,0,2,1,1000.0
1656,Ananth Nagar,2,2,24.55,1,0,0,2,1,982.0
1657,Hennur Road,2,2,89.0,1,0,0,2,1,1232.0
1658,Binny Pete,3,2,178.0,1,0,0,3,1,1282.0
1659,Yelahanka,1,1,38.4,1,0,0,1,1,654.0
1660,Bannerghatta Road,2,0,55.0,1,0,0,2,1,1181.0
1661,2nd Stage Nagarbhavi,4,2,245.0,0,1,0,4,0,1200.0
1662,T K Reddy Layout,3,1,75.0,1,0,0,3,1,1616.0
1663,Herohalli,6,0,44.5,1,0,0,5,0,1800.0
1664,Kumbena Agrahara,4,1,135.0,0,1,0,6,0,1200.0
1665,Whitefield,3,2,54.65,1,0,0,3,1,1306.0
1666,Whitefield,3,3,89.0,1,0,0,3,1,1626.0
1667,"Pai layout , Mahadevapura",4,2,214.0,1,0,0,6,1,2700.0
1668,Whitefield,3,2,88.0,1,0,0,3,1,1585.0
1669,7th Phase JP Nagar,2,1,56.17,1,0,0,2,1,1370.0
1670,Whitefield,5,3,900.0,0,1,0,5,0,3250.0
1671,Kanakpura Road,2,2,90.0,1,0,0,2,1,1495.0
1672,frazertown,3,2,210.0,1,0,0,3,1,2000.0
1673,Akshayanagara East,4,1,300.0,0,1,0,5,0,2400.0
1674,Bannerghatta,3,0,57.0,0,1,0,3,0,1375.0
1675,Old Madras Road,6,0,224.5,1,0,0,4,1,3715.0
1676,Kereguddadahalli,2,2,48.0,1,0,0,3,1,1400.0
1677,Kadugodi,5,0,135.0,1,0,0,5,1,1100.0
1678,Whitefield,1,0,28.585,1,0,0,1,1,665.0
1679,Hebbal Kempapura,4,2,215.0,0,1,0,4,0,1200.0
1680,Yelahanka,2,2,46.0,1,0,0,2,1,1150.0
1681,Hebbal,2,1,54.0,1,0,0,2,1,1080.0
1682,Kaikondrahalli,3,2,100.0,1,0,0,3,1,1645.0
1683,Doddanekundi,3,3,176.0,1,0,0,3,1,1760.0
1684,Venkatadri Layout,1,1,42.0,1,0,0,1,1,595.0
1685,Bommenahalli,3,1,125.0,0,1,0,3,0,1200.0
1686,JP Nagar,4,0,314.5,1,0,0,4,1,4624.5
1687,Mahaganapathy Nagar,2,3,67.0,1,0,0,2,1,1410.0
1688,Huskur,2,1,31.48,1,0,0,2,1,1090.0
1689,Ramagondanahalli,1,0,30.0,0,1,0,1,0,540.0
1690,Sarjapur  Road,2,2,60.0,1,0,0,2,1,1300.0
1691,9th Phase JP Nagar,2,2,85.0,1,0,0,3,1,1890.0
1692,Belathur,2,1,53.0,1,0,0,2,1,1254.0
1693,Kattigenahalli,7,2,125.0,1,0,0,7,0,2800.0
1694,Ulsoor,2,0,120.0,1,0,0,2,1,1275.0
1695,Kathriguppe,2,2,68.48,1,0,0,3,1,1245.0
1696,Rustam Bagh Layout,2,2,86.0,1,0,0,2,1,1170.0
1697,Panathur,2,1,86.0,1,0,0,2,1,1193.0
1698,Chandapura,2,1,25.4,1,0,0,2,1,850.0
1699,Marathahalli,3,3,70.0,1,0,0,3,1,1678.0
1700,Gunjur,3,3,75.0,1,0,0,3,1,1600.0
1701,Electronics City Phase 1,3,2,84.0,1,0,0,3,1,1750.0
1702,Whitefield,2,2,62.0,1,0,0,2,1,1125.0
1703,Andrahalli,4,3,235.0,0,1,0,4,0,2200.0
1704,Singena Agrahara,3,1,95.0,0,1,0,3,0,16140.0
1705,HBR Layout,2,0,200.0,1,0,0,3,1,2800.0
1706,R.T. Nagar,2,1,120.0,0,1,0,2,0,1200.0
1707,Vittal Nagar,2,1,50.0,1,0,0,2,1,1000.0
1708,Sadashiva Nagar,5,2,480.0,1,0,0,4,1,2780.0
1709,Electronic City Phase II,2,1,38.13,1,0,0,3,1,1320.0
1710,2Electronic City Phase II,27,0,230.0,1,0,0,27,1,8000.0
1711,Ardendale,4,2,160.0,1,0,0,4,1,2422.0
1712,Kasavanhalli,2,1,50.0,1,0,0,2,1,1100.0
